GeneId	TCGA-02-0079-01A-03R-0308-07	TCGA-02-0084-01A-03R-0308-07	TCGA-02-2470-01A-01R-0791-07	TCGA-02-2483-01A-01R-0791-07	TCGA-02-2486-01A-01R-0791-07	TCGA-06-0124-01A-01R-0213-07	TCGA-06-0125-01A-01R-0213-07	TCGA-06-0127-01A-01R-0308-07	TCGA-06-0128-01A-01R-0213-07	TCGA-06-0129-01A-01R-0213-07	TCGA-06-0133-01A-02R-0213-07	TCGA-06-0137-01B-02R-0213-07	TCGA-06-0140-01A-01R-0213-07	TCGA-06-0142-01A-01R-0213-07	TCGA-06-0143-01A-01R-0213-07	TCGA-06-0145-01A-05R-0213-07	TCGA-06-0152-01A-02R-0308-07	TCGA-06-0155-01B-01R-0524-07	TCGA-06-0238-01A-02R-0308-07	TCGA-06-0644-01A-02R-0308-07	TCGA-06-0646-01A-01R-0308-07	TCGA-06-1800-01A-01R-0598-07	TCGA-06-1801-01A-02R-0598-07	TCGA-06-1802-01A-01R-0598-07	TCGA-06-1805-01A-01R-0598-07	TCGA-06-2557-01A-01R-0791-07	TCGA-06-2558-01A-01R-0791-07	TCGA-06-2559-01A-01R-0791-07	TCGA-06-2561-01A-02R-0791-07	TCGA-06-2562-01A-01R-0791-07	TCGA-06-2566-01A-01R-0791-07	TCGA-06-2569-01A-01R-0791-07	TCGA-06-2570-01A-01R-0791-07	TCGA-08-0358-01A-01R-0308-07	TCGA-12-0616-01A-01R-0308-07	TCGA-12-0620-01A-01R-0308-07	TCGA-12-1088-01A-01R-0524-07	TCGA-12-1089-01A-01R-0524-07	TCGA-12-1090-01A-01R-0524-07	TCGA-12-1091-01A-01R-0524-07	TCGA-12-1096-01A-01R-0524-07	TCGA-12-1097-01B-01R-0524-07	TCGA-12-1099-01A-01R-0524-07	TCGA-12-1597-01B-01R-0918-07	TCGA-12-1598-01A-01R-0598-07	TCGA-12-1599-01A-01R-0598-07	TCGA-12-1600-01A-01R-0598-07	TCGA-12-1602-01A-01R-0598-07	TCGA-12-3646-01A-01R-0918-07	TCGA-12-3649-01A-01R-0918-07	TCGA-12-3650-01A-01R-0918-07	TCGA-12-3651-01A-01R-0918-07	TCGA-12-3652-01A-01R-0918-07	TCGA-12-3653-01A-01R-0918-07	TCGA-14-0736-01A-01R-0524-07	TCGA-14-0812-01B-01R-0598-07	TCGA-14-0865-01B-01R-0598-07	TCGA-14-0866-01B-01R-0598-07	TCGA-14-1034-01A-01R-0524-07	TCGA-14-1453-01A-01R-0524-07	TCGA-14-1454-01A-01R-0524-07	TCGA-14-1455-01A-01R-0598-07	TCGA-14-1456-01C-01R-0791-07	TCGA-14-1458-01A-01R-0598-07	TCGA-14-1795-01A-01R-0598-07	TCGA-14-1823-01A-01R-0598-07	TCGA-14-1825-01A-01R-0598-07	TCGA-14-1827-01A-01R-0598-07	TCGA-14-1829-01A-01R-0598-07	TCGA-14-2554-01A-01R-0791-07	TCGA-15-1446-01A-01R-0524-07	TCGA-15-1447-01A-01R-0524-07	TCGA-16-1055-01B-01R-0524-07	TCGA-16-1056-01B-01R-0524-07	TCGA-16-1060-01A-01R-0524-07	TCGA-16-1062-01A-01R-0524-07	TCGA-16-1460-01A-01R-0598-07	TCGA-19-0955-01A-02R-0524-07	TCGA-19-0957-01C-01R-0598-07	TCGA-19-0960-01A-02R-0524-07	TCGA-19-0962-01B-01R-0524-07	TCGA-19-0963-01B-01R-0524-07	TCGA-19-1385-01A-02R-0598-07	TCGA-19-1386-01A-01R-0598-07	TCGA-19-1387-01A-01R-0598-07	TCGA-19-1388-01A-01R-0598-07	TCGA-19-1389-01A-01R-0598-07	TCGA-19-1390-01A-01R-0918-07	TCGA-19-1787-01B-01R-0918-07	TCGA-19-1788-01A-01R-0598-07	TCGA-19-1791-01A-01R-0598-07	TCGA-19-2619-01A-01R-0918-07	TCGA-19-2621-01B-01R-0918-07	TCGA-19-2623-01A-01R-0918-07	TCGA-19-2624-01A-01R-0918-07	TCGA-19-2625-01A-01R-0918-07	TCGA-19-2629-01A-01R-0918-07	TCGA-26-1438-01A-01R-0524-07	TCGA-26-1440-01A-01R-0524-07	TCGA-26-1799-01A-02R-0598-07	TCGA-27-1830-01A-01R-0598-07	TCGA-27-1831-01A-01R-0791-07	TCGA-27-1832-01A-01R-0598-07	TCGA-27-1833-01A-01R-0598-07	TCGA-27-1835-01A-01R-0791-07	TCGA-27-1836-01A-01R-0791-07	TCGA-27-1837-01A-01R-0791-07	TCGA-27-1838-01A-01R-0791-07	TCGA-27-2518-01A-01R-0791-07	TCGA-27-2519-01A-01R-0791-07	TCGA-27-2523-01A-01R-0791-07	TCGA-27-2524-01A-01R-0791-07	TCGA-27-2528-01A-01R-0791-07	TCGA-28-1746-01A-01R-0598-07	TCGA-28-1747-01C-01R-0791-07	TCGA-28-1749-01A-01R-0598-07	TCGA-28-1750-01A-01R-0598-07	TCGA-28-1751-01A-02R-0598-07	TCGA-28-1752-01A-01R-0598-07	TCGA-28-1753-01A-01R-0791-07	TCGA-28-1755-01A-01R-0598-07	TCGA-28-1756-01C-01R-0791-07	TCGA-28-1760-01A-01R-0598-07	TCGA-28-2502-01B-01R-0791-07	TCGA-28-2513-01A-01R-0791-07	TCGA-28-2514-01A-02R-0791-07	TCGA-32-1976-01A-01R-0791-07	TCGA-32-1982-01A-01R-0791-07	TCGA-32-1986-01A-01R-0791-07	TCGA-32-2615-01A-01R-0918-07	TCGA-32-2634-01A-01R-0918-07	TCGA-32-2638-01A-01R-0918-07	TCGA-41-2571-01A-01R-0918-07	TCGA-41-2573-01A-01R-0918-07	TCGA-41-2575-01A-01R-0918-07	TCGA-41-3392-01A-01R-0918-07
1	-0.869491	-0.683082	0.473368	1.402148	-0.889802	0.450415	-0.496365	-0.099682	1.311389	-0.294869	-0.652715	1.702264	-0.872444	0.238259	-0.272966	-1.112969	-0.526674	1.225046	0.349679	0.539699	0.337970	-0.588206	1.087722	-0.163137	-0.051291	-0.809064	0.824399	0.332688	-1.712679	-0.517684	-0.232304	-0.074498	-0.792928	0.927836	0.834224	-0.810481	1.290347	-0.399213	-1.685547	0.929938	0.942870	0.583975	1.682445	1.827573	-1.428384	-0.123292	-1.624870	1.455064	1.246503	-1.335836	-0.404144	1.190581	-1.215894	0.402364	1.462658	-0.763022	1.867958	1.624113	-1.453760	-1.549586	0.974443	1.469335	0.104105	-0.023738	-0.895314	-0.710304	1.947881	-0.823605	1.327840	0.784379	-0.854049	1.139706	0.823802	-2.160656	-0.864709	0.594869	-1.881182	-1.304692	0.617565	-1.247488	-1.820985	0.711083	-0.172632	-0.491041	-0.511720	-1.037509	-0.139136	-1.571468	-2.242888	0.528439	1.828929	-2.280403	-0.315308	-0.862883	0.082208	0.460617	-0.470377	0.645607	0.333897	-0.264729	0.528963	0.223756	-1.804288	0.506594	0.081736	0.553233	0.428281	-1.262036	-0.753549	0.250319	0.676029	0.109114	-0.042284	-0.250923	-0.589917	-2.146056	0.244108	-0.142049	0.063699	0.210358	0.657701	0.367115	0.280516	-0.536791	0.429096	0.501155	0.109114	-0.088129	0.441271	1.012502	0.571064	-0.746261	1.334348	0.671491	1.372329	1.273882
9	0.390921	-0.924785	0.408635	-0.776020	0.316949	1.059062	-1.109638	0.271362	-0.111731	-0.216069	1.479838	-1.460301	-0.069593	-0.500601	-0.077658	1.006692	-0.762684	0.120632	0.040913	1.373001	0.307805	0.014223	-0.246015	-0.248132	0.748212	-0.203627	1.275994	-0.342441	1.378415	1.126041	0.852899	-0.397281	-0.872494	-0.744992	-0.214738	0.263197	0.776948	-1.552743	0.783349	-0.753581	1.114809	-0.895319	-1.459142	-0.803666	0.649319	0.582281	-0.736752	0.351782	0.390868	1.339479	-1.242134	1.473101	0.954994	-0.342667	0.701241	0.909405	0.444576	-0.061585	0.726191	-0.398130	0.223004	0.651385	-0.730454	-1.432887	-1.142961	0.568016	0.738333	1.137737	3.302909	-0.293448	0.216653	0.748621	0.897062	-0.571168	0.540047	-1.260902	0.168511	0.137921	-1.113625	0.346041	0.363531	-0.359217	0.577240	-2.097166	-0.156244	0.692263	-0.392641	-2.317209	-0.883507	-2.923698	0.411057	1.367907	1.443564	-0.255871	-1.976173	0.201599	0.421665	0.899280	-1.345127	-1.336110	0.264532	1.372770	1.143937	-1.568777	-2.470817	0.538577	0.275315	1.017217	1.186223	1.000030	-1.832446	-0.433572	-0.566842	0.099810	0.707634	-0.800715	-1.607891	1.446615	1.159714	0.618015	-0.294806	-1.347555	0.098147	0.126118	0.311959	-1.067962	-0.433572	0.087660	-0.831918	-0.561221	2.083649	-0.241758	-1.620318	-0.281628	0.998090	-0.148762
10	0.666208	-0.091644	0.578110	-0.620576	-0.245370	-0.967235	-0.690862	0.317472	0.566326	-0.820864	1.673775	-1.202257	1.469922	-0.207738	-0.308529	0.487463	-0.098927	-1.262004	-0.151711	-0.388692	0.554610	-0.829191	0.353597	-1.062804	2.476085	-0.187495	0.798958	-0.524406	-0.372318	-0.073312	-0.451573	0.625099	0.160222	-0.596774	0.212687	-0.423229	0.075143	1.242033	-1.184550	-1.119941	0.892593	0.186820	-1.312517	-1.129445	-0.645856	1.836645	-0.760587	1.183186	-0.941725	2.578760	-0.188885	1.518848	0.653548	-1.783765	-0.248062	1.296899	0.294470	-0.159521	0.701661	-0.892906	-0.389420	-0.240499	-0.785977	-0.613903	-0.797630	-1.308634	0.868204	2.300268	0.497070	0.280435	1.699000	-0.540255	0.443692	0.670649	0.104433	-1.254720	-1.406606	0.491699	-1.381075	-1.354572	0.221905	1.826418	0.206992	-1.344267	0.984658	-0.529010	0.534113	-0.810547	-1.073450	-0.489461	1.960147	0.158128	0.315306	0.411477	-1.020039	-0.181758	1.817619	1.378928	-0.376028	-1.718455	-0.014482	-0.163296	-1.179728	-0.211757	1.326799	0.948147	0.014322	1.574274	1.622203	1.100861	-1.449930	-0.968450	0.037581	0.808371	0.969057	0.528083	-0.522119	-0.617976	1.627857	0.291086	-2.370347	0.132342	0.447262	-0.654565	0.306828	-0.504827	-0.968450	-1.194232	-1.601547	-0.815638	1.266517	-1.025521	-1.698480	0.692862	0.943704	0.312487
12	0.399128	-0.482554	1.214063	-0.648211	1.514478	0.424572	0.274964	0.224018	-0.071675	-1.560246	0.396554	0.971052	0.555352	-0.988241	0.318402	-0.320733	0.313632	-0.627943	-0.023159	-0.462771	0.521500	0.848434	0.186559	0.766604	-0.444170	-0.484832	-0.353234	-0.117824	0.163113	0.073719	0.029328	-3.526368	-0.390502	-2.601291	1.494738	0.616759	-1.274239	-1.174752	-0.741225	0.122385	0.636252	1.167103	-0.504116	0.610195	0.324486	1.021405	-1.070805	1.103993	-0.403536	0.965937	-0.215157	-0.032802	0.600395	-1.002190	0.415016	0.617130	-0.455668	0.118316	0.802808	-1.016089	-0.917813	-0.371418	-1.718846	-1.942247	-0.785884	1.874714	-2.163874	0.848642	0.635116	1.260263	1.222602	-1.456667	0.174205	-0.545196	1.170952	0.327871	-0.147800	1.212325	0.607049	-1.131289	0.757586	1.084051	0.776440	-0.650083	0.969096	-0.859430	1.102331	-1.158202	-0.309719	-1.617150	-2.436258	-0.011541	-0.172513	-0.248820	0.305540	1.600955	-0.824991	1.437044	-1.140869	-0.204752	1.124178	0.615507	0.416177	-1.185138	-1.732116	0.068820	0.608909	0.379828	0.336891	-0.793702	-1.126595	1.312988	0.380036	-0.706816	1.010154	-0.019965	0.121909	0.403530	1.309674	-0.669717	-1.637434	-2.284778	1.523114	1.927710	0.922654	0.150161	1.312988	1.119269	-0.554150	0.820226	-0.258644	0.298698	0.100287	-0.036858	-1.275613	0.648355
13	-0.408879	-0.803017	0.416429	-0.273153	-1.081297	-0.804811	-0.269680	-1.193951	-0.131251	-0.350431	0.296854	-0.240841	0.660871	-0.086390	0.205849	0.719831	-0.271090	0.496625	0.710731	0.245455	-0.230715	0.512043	-0.360189	0.746603	0.282609	-0.348136	-0.100758	0.242752	0.854788	0.028058	-0.756373	0.278641	-0.107166	0.784432	0.662024	0.505010	0.902940	-0.363430	-0.693481	0.388317	-1.091464	-0.629393	0.373577	-0.956944	1.475919	-2.055305	0.217240	0.456286	0.152412	-3.011590	0.138313	0.354928	0.347879	0.213936	-0.622984	-0.050005	0.663289	0.555622	-0.181421	-0.062859	-0.416622	0.097396	0.451677	-0.558860	1.347744	1.008080	1.466306	0.367205	1.408627	-1.663212	0.877305	-1.242070	0.436383	-0.162195	2.269287	0.404339	0.196091	-0.854340	-1.838048	0.210154	0.155679	0.065316	0.065352	-3.761315	-0.363393	2.210363	2.210363	-0.164822	1.486715	-2.105293	-0.881221	-1.433114	-0.376951	-0.860171	-0.137905	0.661908	-0.164822	0.083260	-0.342922	1.040124	0.346697	-1.674107	-1.670779	0.756857	-2.059273	-0.246877	0.338883	-0.541039	-0.141774	0.226089	-1.456850	1.064995	-0.057819	-2.130287	-0.004626	-1.135648	-1.634890	0.231980	1.525908	0.741994	-1.906621	0.336319	1.263149	0.388871	0.712513	0.533068	1.064995	2.094241	0.738148	1.161791	0.805464	-0.846713	0.035132	1.441212	-0.008448	1.161791
16	2.886407	1.643794	-0.514580	0.269597	-1.157358	-0.035089	0.051182	0.538517	0.159698	0.623357	-1.382736	-0.854858	0.957803	1.237507	0.550046	-1.306911	-1.274917	-0.569499	-1.183423	-1.063688	-0.132308	0.187090	0.604906	0.386713	0.261562	-1.123120	-0.153828	0.683931	-0.956188	1.174283	-0.415156	-0.143189	0.682190	0.233280	-1.442430	-0.205232	-1.709787	1.775296	-0.115125	0.584329	-0.733530	0.557055	-0.045296	-1.010969	-1.772579	-0.064372	-0.292237	-0.279470	-1.300151	-2.360551	-1.748916	-0.594894	-0.916573	0.316175	-0.522495	-0.837524	-1.988257	-0.731329	-0.672018	-0.527331	0.422425	-0.117760	-0.082838	1.333761	-0.155093	-1.503514	-0.515458	-1.780123	-1.197503	-0.813628	0.020859	0.754743	0.453568	0.713155	-0.327708	-0.375486	1.155416	-0.952109	1.804771	0.509857	0.565372	0.906782	0.898150	1.567041	1.509205	1.687937	-0.323766	1.016016	-0.289657	3.021851	0.943027	1.630552	0.965143	0.658551	0.447323	0.645398	1.449499	-0.848623	0.135564	0.939158	1.717339	-0.782872	-1.207948	-1.285128	0.507713	0.069007	0.454713	0.660719	-0.234489	1.078147	0.072682	-1.240728	0.853185	0.540299	1.512791	-0.194359	-0.614689	-0.188170	-1.228065	-0.237778	-1.465021	0.338073	-0.815860	0.196480	-0.357513	0.971759	-1.240728	-0.335268	0.263988	0.798017	-0.028716	0.231838	0.699172	1.318351	-1.530917	-0.394691
18	-0.272930	-0.045488	-0.990477	0.233680	-1.877519	-1.793008	0.125168	-0.186103	0.543594	0.622267	0.070481	1.039014	0.018073	-0.245587	-0.048187	-0.331815	0.026228	-3.437380	0.984987	-2.109796	0.344875	-0.420973	1.071762	-0.238024	0.531609	-0.669672	2.052917	0.509513	1.654458	-0.342570	0.344493	-1.055238	0.252809	0.439977	0.386490	0.431762	-0.052433	1.557890	-0.377796	0.187181	0.052143	0.993992	0.400952	0.021246	-0.238444	1.273659	0.346202	0.963647	-0.012693	-0.258364	1.410004	0.568834	-1.302811	0.241253	-0.864581	0.980977	1.557227	-0.172184	0.452580	0.777883	0.250143	1.102883	-0.046530	0.333669	-1.181252	-1.641473	0.577961	-0.020656	-0.978575	0.381251	0.690816	-0.684330	-1.354184	-0.242158	-0.462704	-0.604338	-0.489392	0.752698	0.851515	0.676305	0.069353	0.155101	-1.560042	0.160015	-0.132128	-0.793227	-2.032016	0.739251	-0.091845	0.446341	1.368821	0.096021	1.265791	-1.137791	1.420557	-1.553219	-0.817645	-0.281674	1.344539	0.473025	0.056337	-0.976026	-0.627668	0.121518	-0.711047	1.679343	1.328916	0.535177	0.432280	1.401532	0.547950	-2.942473	0.684787	1.529884	1.249944	0.646020	-1.012274	-1.689684	0.369048	0.669376	-1.346991	0.455725	-0.187115	-0.560298	-1.210064	1.327417	-2.942473	-1.617217	0.200041	0.054286	0.529858	-1.532651	-0.976429	0.453644	0.892098	-0.009395
19	1.149654	0.698052	-1.222868	-0.153022	0.921114	1.971784	-0.602460	1.686931	-0.952276	-0.994643	-0.600681	0.476384	0.214963	-0.427866	1.808592	-0.893799	-0.617000	-0.556752	-0.617105	0.783205	-0.144582	-0.439403	0.004666	-1.011411	1.592019	0.808240	-0.195075	0.955949	0.516169	2.376135	1.144247	-1.321934	-0.157101	-1.844913	-1.636530	0.542288	0.743760	0.365595	-1.192781	-1.160038	0.932372	-0.048870	-0.440112	-0.723279	-0.415134	0.789555	-0.384169	-0.908998	-1.351776	-0.270003	-1.218189	-0.875591	0.648368	-0.985431	-1.492698	0.666638	-1.158284	-1.602876	0.849102	-1.846803	-0.256521	-0.279559	0.459889	0.163046	0.877218	0.489848	-1.032752	-1.520653	-1.096250	-0.686324	-0.020521	-0.680401	1.448622	0.443425	0.271132	-0.233925	0.547488	2.482483	0.043895	-0.074186	1.774796	-1.504833	0.870837	0.434509	0.941449	0.842802	2.022280	-0.281824	0.101258	1.392946	-0.779595	0.635815	1.885905	-0.207342	-0.581009	0.872129	0.239134	0.724512	-0.527357	-1.701314	1.093134	-0.286922	-1.962735	-0.271923	0.897368	-0.188694	-0.110759	0.762107	-0.651698	1.077402	-1.576660	-0.403458	-1.514207	-1.000741	-0.633705	-0.176205	1.029635	2.057115	-0.876883	0.546192	0.252697	-0.098101	0.507108	-0.842506	1.309531	-0.884978	-0.403458	-1.547160	1.104286	-0.321994	1.424261	1.140977	-0.060260	0.224175	0.237042	-0.532365
20	0.148770	-0.770551	0.749632	-0.364082	1.054602	-0.228742	-0.367552	1.145926	-0.522831	0.008685	-0.413038	-0.339025	-0.904264	3.671951	-0.016018	-0.889167	-0.293834	-0.869122	0.213371	0.221704	-0.214724	0.393354	1.236212	-0.838877	-0.220605	1.872854	-1.022154	-1.230075	0.694735	-1.543181	1.186452	-2.115281	0.559553	-0.347946	-0.487050	0.384335	-0.802168	0.548189	0.100488	-0.285748	0.062747	0.960894	1.639846	1.074916	-1.171296	0.050447	-0.793294	-0.547338	-0.875185	-1.088106	-0.762255	1.202355	-1.476401	-0.596585	-0.181445	0.423939	-0.801332	-1.232466	-0.249771	-1.581404	0.078922	-0.712713	-1.140476	-0.075816	-0.480874	-1.547729	-0.053759	-1.078266	-1.495185	-1.151259	1.278411	0.140583	-0.659142	-0.948918	0.144210	-0.055379	0.726752	-0.837556	2.176021	0.987460	0.314487	1.315761	0.164357	0.738614	1.527948	2.114655	1.915655	1.498012	0.317148	2.449621	0.501088	-0.266912	-0.524240	-0.352688	0.053644	-0.567961	0.201179	-1.757563	0.656218	0.192981	0.693520	-1.203215	-0.007293	-1.383432	0.205078	-0.808646	-0.591902	-0.290265	1.157631	-1.319674	0.186746	1.118223	0.253995	-1.112968	1.114890	-0.443720	-0.035525	0.228958	-0.478423	-0.071758	-0.593411	0.112440	-0.429800	2.621016	-2.000979	0.308303	1.118223	1.272325	-0.733751	0.831999	-0.003409	-0.422681	1.503599	0.992179	-0.630798	-0.107810
21	-0.666503	1.166022	1.839392	0.597191	-1.373206	-0.574236	0.431805	0.833149	0.132369	-0.140976	-0.866774	0.990192	-0.361992	0.516373	0.741662	-0.868423	-0.055861	-2.647017	-0.341727	-1.753513	0.005166	-1.603614	0.650625	0.320076	-2.136211	-0.740898	-0.202828	-0.512385	1.541231	0.202917	-0.626266	-4.741445	0.158834	0.001942	-1.049682	1.861007	0.310453	-0.192605	0.859993	0.076393	-0.429289	0.931666	0.094911	-1.188538	-1.444450	-0.482867	0.643878	-0.742268	-1.431595	-0.036603	-1.169795	-0.384920	-1.010406	-0.888953	1.236425	-0.762885	-1.530142	0.360186	0.533568	0.175880	-0.260829	0.076195	0.332692	1.042201	0.707004	-0.072774	-0.080870	-0.317555	-2.425225	-0.553694	0.807289	0.427858	-1.038657	-0.390754	-0.333851	-0.513932	2.753797	-0.071976	0.063524	-0.261053	-0.275298	0.422236	0.393174	0.457499	0.750487	1.349658	0.955834	0.335780	-0.042451	1.058170	0.461697	1.405996	0.334430	-0.025807	1.404497	1.144196	1.649278	0.555685	-0.017097	1.362853	1.280160	-1.240207	-0.214095	-1.010515	1.508244	0.263794	0.230581	0.992366	0.426632	1.426825	1.078283	-0.623417	0.464417	0.300209	0.930589	0.526248	0.310780	-1.345637	-1.179876	-0.605799	-0.256228	0.883582	-0.219043	0.194820	-0.551070	0.654095	-0.623417	-0.943695	-0.388157	-0.235502	-0.172601	-1.186589	0.873624	1.210096	-0.081736	-0.502400
22	1.205411	0.882389	-1.330421	1.198264	0.513825	0.022468	-0.521269	-1.288594	0.076222	0.241201	0.433429	1.243708	0.236247	-1.477452	-0.893586	0.639033	0.695859	-1.410846	-1.207838	-0.474104	-0.998518	1.072949	-0.575848	-0.239450	-0.539434	0.057037	-0.617246	1.315186	-0.437900	-0.360860	0.073881	-1.153799	-0.058151	0.451611	-0.129778	0.863563	0.997201	0.069010	3.062657	0.089570	-0.270361	-0.460855	0.014512	-0.565153	1.230992	0.690723	2.046225	0.421704	0.779697	0.269898	-0.786859	-0.751435	-0.405376	-0.070712	-0.547060	0.893355	-0.264965	0.090260	0.451731	3.740408	-0.356814	-1.577612	1.003807	-1.567951	-1.025453	1.459634	-0.713826	0.619381	0.240376	1.186126	1.189677	-0.367466	-0.774216	0.021944	-0.174000	-0.418496	1.165595	0.305331	-0.411860	-1.252060	-0.611962	-2.714575	-0.065553	1.526765	-2.105247	1.375410	-1.469360	0.790845	1.207751	-1.988325	-0.913238	-0.617173	0.441565	0.856489	-0.209433	0.945419	0.085349	0.012778	-0.596108	-0.556279	-0.564701	0.049853	-0.924632	-0.405420	-0.918221	-0.429478	-0.090602	2.561197	0.674345	-0.003654	-0.950672	-1.169901	-0.205295	0.136335	0.214089	-0.913733	1.044462	0.909952	1.243625	0.035981	0.718715	0.057037	-0.063572	-0.857283	0.418702	-0.397027	-1.169901	-1.052236	1.843317	0.644197	-0.350135	-0.811382	-1.668232	-1.237454	0.632306	0.819827
24	0.915777	0.158338	3.502282	1.049332	-1.167136	1.235376	0.132814	-0.487841	-0.103232	-1.786526	-0.086652	-0.343640	0.824806	0.397219	0.018936	-0.289101	0.324137	-0.158891	-0.648404	0.719872	0.164446	-0.216158	0.714496	0.073989	-0.076538	-1.289304	0.902295	-0.313709	-0.746095	-0.092062	-0.226010	-1.767066	0.145292	-0.722577	-0.758791	0.335045	0.992102	-0.028433	-0.016216	-0.257497	-0.702536	-0.661959	-0.141874	-0.133343	-0.066067	0.137255	0.679155	-0.357960	1.033793	0.251921	-2.207137	-0.028192	-0.377242	0.251485	1.023517	0.609345	-1.045589	-0.055595	0.458492	-0.190305	-0.200777	-0.042506	0.521394	0.521646	0.108458	-0.049923	-0.329600	-0.460057	-2.219270	-1.560254	0.050103	-0.406716	0.134748	1.516114	0.257352	-0.176779	-1.334428	-0.135766	-0.039452	-1.268870	0.042250	0.103333	6.420594	-1.367588	0.099732	2.219775	1.560070	-0.048698	0.028965	-1.206588	-0.726644	0.780732	-1.885139	0.429500	0.751499	0.371907	0.215707	0.463291	-0.694683	1.063110	0.022941	-0.461183	-0.421225	-1.788629	0.068501	-0.017453	-0.081154	0.448966	0.489979	0.373047	-0.437185	-0.894005	0.940690	-0.566954	-0.611274	-0.926039	-1.176919	0.551316	0.822266	1.112161	-1.344899	-0.184997	0.214482	1.097763	0.339451	0.089444	-0.894005	-0.827685	0.489979	0.287262	0.530725	1.023758	-0.169121	0.070851	-0.040845	-1.138389
27	0.861646	0.843986	0.343808	-0.538699	0.293216	2.964340	0.181906	-1.483518	-1.366134	-1.274776	-1.815222	0.842259	1.256823	-0.347253	0.763782	-1.205726	0.130251	1.408419	-0.304894	1.608710	-0.072250	0.158971	0.150606	0.432249	-1.414032	-0.980750	-0.370855	0.507934	-0.904529	2.413836	-0.353859	-0.064514	-0.127455	-0.415241	-0.957147	-0.211544	1.775710	-1.904768	-0.912445	-0.042155	1.577059	-0.213052	-0.598270	-0.889364	0.224569	1.106014	-0.257451	-0.737346	-0.412789	-0.280267	0.240660	-0.748742	-1.895098	-0.338029	-0.275463	-0.391434	-0.721279	-0.474028	-0.438659	-0.653509	0.295525	-0.785813	-0.446013	-1.075955	1.391374	-0.217216	-1.576299	-1.977849	-0.027861	-0.395687	-0.567994	0.471601	-0.120234	-0.707820	0.584869	0.319426	-0.107135	0.836236	0.770193	-0.457515	-0.948033	-0.106689	0.624924	-0.913954	-0.783689	-0.541882	2.403483	-0.332983	0.669697	-1.188160	-1.813989	0.244511	-1.202212	0.645529	0.503978	1.239223	0.138280	1.017890	-0.340130	0.844554	0.212086	0.523736	0.448714	-0.915680	-1.046214	-0.079917	-0.470313	-0.447872	-0.940913	0.021134	-0.078988	1.008544	-0.900147	0.845218	-0.850883	-0.045522	1.138015	2.773562	0.047562	0.185658	0.919978	-0.084167	1.474500	0.233993	1.142925	-0.056547	1.008544	-1.527304	2.982301	2.680236	-0.718466	0.872995	0.177187	0.236012	-0.837710	0.007352
29	0.299196	2.004428	0.903230	0.830846	0.862209	-0.504306	0.194446	0.496152	-0.653089	0.636529	-0.152421	0.062474	0.447603	1.303919	1.084634	-2.419790	-0.181149	-1.344157	-1.084634	-0.656225	0.251902	0.127470	1.168949	0.247525	0.270984	0.358028	-1.194908	0.198708	0.829466	0.453244	0.068742	-2.576229	-0.589239	-0.776029	-0.363426	0.009785	-0.321997	0.405232	0.468333	0.404480	1.369184	0.456667	-0.591713	-1.282342	-2.247911	0.117935	-1.106073	-1.189496	-2.512622	-0.506188	-0.995063	0.137492	-0.125826	-1.025673	0.824985	-0.179128	-1.070069	-0.869475	1.032604	-2.104254	-1.266504	-0.522357	-0.212640	1.261907	0.819824	-0.725334	-1.290357	-0.234326	-2.462680	-0.430797	2.205554	1.320384	-0.502644	-1.355447	-0.114755	-0.749402	1.434650	-0.013141	0.532545	-1.678354	0.453907	0.616740	0.264460	-0.069486	-0.161816	1.511300	0.013185	0.018441	-0.112152	1.680782	0.530538	0.800366	0.854309	0.073513	0.721208	1.731325	0.811907	0.505843	-0.021546	0.098993	0.321289	-1.964664	1.103088	-1.608998	-1.611274	0.845649	0.105373	0.679178	1.142713	1.452447	0.294927	-1.236431	-0.697627	0.756723	1.689295	-0.673775	0.666399	1.023302	0.852692	0.268583	-0.934583	1.079863	0.541327	-0.338090	-0.334201	0.556614	-1.236431	-0.945264	0.748677	1.521824	0.678053	-0.684451	-0.048047	1.245836	-0.402692	-0.899220
